promoter,sp,codon,scaffold_base,propeptide,nglyc,cai,mrna_5p,rare_clusters,chaperone_load,promoter_sp_prior,concordance_n,composite,top20_cai,top20_mrna_5p,top20_chaperone_load,top20_promoter_sp_prior
PamyB,SPpepO_pro,5p_softened_balanced,direct_3xAla_pts1blk,prop_none,nglyc_ablated,0.67874,0.73333,2,0.00000,0.90000,3,0.77044,0,1,1,1
PamyB,SPpepO_pro,5p_softened_balanced,direct_3xAla_pts1blk,prop_native,nglyc_ablated,0.67874,0.73333,2,0.00000,0.90000,3,0.77044,0,1,1,1
PamyB,SPpepO_pro,5p_softened_balanced,direct_3xAla_pts1blk,prop_synth_flex,nglyc_ablated,0.67874,0.73333,2,0.00000,0.90000,3,0.77044,0,1,1,1
PamyB,SPpepO_pro,5p_softened_balanced,direct_his6_pts1ok,prop_none,nglyc_ablated,0.67874,0.73333,2,0.00000,0.90000,3,0.77044,0,1,1,1
PamyB,SPpepO_pro,5p_softened_balanced,direct_his6_pts1ok,prop_native,nglyc_ablated,0.67874,0.73333,2,0.00000,0.90000,3,0.77044,0,1,1,1
PamyB,SPpepO_pro,5p_softened_balanced,direct_his6_pts1ok,prop_synth_flex,nglyc_ablated,0.67874,0.73333,2,0.00000,0.90000,3,0.77044,0,1,1,1
PamyB,SPalpA,cai_max,direct_natag_pts1ok,prop_native,nglyc_ablated,1.00000,0.59444,0,0.25000,0.88000,3,0.77042,1,0,1,1
PamyB,SPalpA,high_gc,direct_natag_pts1ok,prop_native,nglyc_ablated,1.00000,0.59444,0,0.25000,0.88000,3,0.77042,1,0,1,1
PamyB,SPpepO_pro,5p_softened,glaA_trunc_KR_3xAla,prop_synth_flex,nglyc_ablated,0.91474,0.73333,2,2.08000,0.90000,3,0.77016,1,1,0,1
PglaA,SPamyB_pro,cai_max,direct_3xAla_pts1blk,prop_native,nglyc_native,1.00000,0.59444,0,0.15000,0.86700,3,0.77014,1,0,1,1
PglaA,SPamyB_pro,cai_max,direct_his6_pts1ok,prop_native,nglyc_native,1.00000,0.59444,0,0.15000,0.86700,3,0.77014,1,0,1,1
PglaA,SPamyB_pro,high_gc,direct_3xAla_pts1blk,prop_native,nglyc_native,1.00000,0.59444,0,0.15000,0.86700,3,0.77014,1,0,1,1
PglaA,SPamyB_pro,high_gc,direct_his6_pts1ok,prop_native,nglyc_native,1.00000,0.59444,0,0.15000,0.86700,3,0.77014,1,0,1,1
PtefI,SPamyB_pro,5p_softened,direct_3xAla_pts1blk,prop_native,nglyc_native,0.91474,0.73333,2,0.15000,0.66300,3,0.77008,1,1,1,0
PtefI,SPamyB_pro,5p_softened,direct_his6_pts1ok,prop_native,nglyc_native,0.91474,0.73333,2,0.15000,0.66300,3,0.77008,1,1,1,0
PenoA,SPalpA_pro,5p_softened,direct_3xAla_pts1blk,prop_none,nglyc_ablated,0.91474,0.73333,2,0.00000,0.64400,3,0.76985,1,1,1,0
PenoA,SPalpA_pro,5p_softened,direct_3xAla_pts1blk,prop_native,nglyc_ablated,0.91474,0.73333,2,0.00000,0.64400,3,0.76985,1,1,1,0
PenoA,SPalpA_pro,5p_softened,direct_3xAla_pts1blk,prop_synth_flex,nglyc_ablated,0.91474,0.73333,2,0.00000,0.64400,3,0.76985,1,1,1,0
PenoA,SPalpA_pro,5p_softened,direct_his6_pts1ok,prop_none,nglyc_ablated,0.91474,0.73333,2,0.00000,0.64400,3,0.76985,1,1,1,0
PenoA,SPalpA_pro,5p_softened,direct_his6_pts1ok,prop_native,nglyc_ablated,0.91474,0.73333,2,0.00000,0.64400,3,0.76985,1,1,1,0
PenoA,SPalpA_pro,5p_softened,direct_his6_pts1ok,prop_synth_flex,nglyc_ablated,0.91474,0.73333,2,0.00000,0.64400,3,0.76985,1,1,1,0
PamyB,SPalpA_pro,5p_softened,glaA_trunc_KR_3xAla,prop_native,nglyc_native,0.91474,0.73333,2,2.25000,0.92000,3,0.76984,1,1,0,1
PamyB,SPalpA_pro,5p_softened_balanced,direct_3xAla_pts1blk,prop_synth_flex,nglyc_native,0.67874,0.73333,2,0.18000,0.92000,3,0.76966,0,1,1,1
PamyB,SPalpA_pro,5p_softened_balanced,direct_his6_pts1ok,prop_synth_flex,nglyc_native,0.67874,0.73333,2,0.18000,0.92000,3,0.76966,0,1,1,1
PenoA,SPglaA,5p_softened,direct_3xAla_pts1blk,prop_synth_flex,nglyc_native,0.91474,0.73333,2,0.18000,0.66500,3,0.76944,1,1,1,0
PenoA,SPglaA,5p_softened,direct_his6_pts1ok,prop_synth_flex,nglyc_native,0.91474,0.73333,2,0.18000,0.66500,3,0.76944,1,1,1,0
PamyB,SPpepO_pro,5p_softened,glaA_trunc_KR_3xAla,prop_none,nglyc_ablated,0.91474,0.73333,2,2.10000,0.90000,3,0.76923,1,1,0,1
PglaA,SPamyB_pro,cai_max,direct_3xAla_pts1blk,prop_synth_flex,nglyc_native,1.00000,0.59444,0,0.18000,0.86700,3,0.76875,1,0,1,1
PglaA,SPamyB_pro,cai_max,direct_his6_pts1ok,prop_synth_flex,nglyc_native,1.00000,0.59444,0,0.18000,0.86700,3,0.76875,1,0,1,1
PglaA,SPamyB_pro,high_gc,direct_3xAla_pts1blk,prop_synth_flex,nglyc_native,1.00000,0.59444,0,0.18000,0.86700,3,0.76875,1,0,1,1
PglaA,SPamyB_pro,high_gc,direct_his6_pts1ok,prop_synth_flex,nglyc_native,1.00000,0.59444,0,0.18000,0.86700,3,0.76875,1,0,1,1
PamyB,SPalpA_pro,5p_softened_balanced,direct_3xAla_pts1blk,prop_none,nglyc_native,0.67874,0.73333,2,0.20000,0.92000,3,0.76873,0,1,1,1
PamyB,SPalpA_pro,5p_softened_balanced,direct_his6_pts1ok,prop_none,nglyc_native,0.67874,0.73333,2,0.20000,0.92000,3,0.76873,0,1,1,1
PtefI,SPamyB_pro,5p_softened,direct_3xAla_pts1blk,prop_synth_flex,nglyc_native,0.91474,0.73333,2,0.18000,0.66300,3,0.76869,1,1,1,0
PtefI,SPamyB_pro,5p_softened,direct_his6_pts1ok,prop_synth_flex,nglyc_native,0.91474,0.73333,2,0.18000,0.66300,3,0.76869,1,1,1,0
PenoA,SPglaA,5p_softened,direct_3xAla_pts1blk,prop_none,nglyc_native,0.91474,0.73333,2,0.20000,0.66500,3,0.76852,1,1,1,0
PenoA,SPglaA,5p_softened,direct_his6_pts1ok,prop_none,nglyc_native,0.91474,0.73333,2,0.20000,0.66500,3,0.76852,1,1,1,0
