promoter,sp,codon,scaffold_base,propeptide,nglyc,cai,mfe,chaperone_load,promoter_sp_prior,esm_pLDDT,top20_cai,top20_mfe,top20_chaperone_load,top20_promoter_sp_prior,top20_esm,concordance_n5,composite_v1
PamyB,SPalpA,cai_max,direct_natag_pts1ok,none,nglyc_native,1.0000,-23.7000,3.6000,0.7961,89.5600,1,0,1,1,1,4,0.8430
PamyB,SPalpA,cai_max,direct_natag_pts1ok,none,nglyc_ablated,1.0000,-23.7000,3.6000,0.7961,89.5600,1,0,1,1,1,4,0.8430
PamyB,SPalpA,high_gc,direct_natag_pts1ok,none,nglyc_native,1.0000,-23.7000,3.6000,0.7961,89.5600,1,0,1,1,1,4,0.8430
PamyB,SPalpA,high_gc,direct_natag_pts1ok,none,nglyc_ablated,1.0000,-23.7000,3.6000,0.7961,89.5600,1,0,1,1,1,4,0.8430
PgpdA,SPamyB,cai_max,direct_natag_pts1ok,none,nglyc_native,1.0000,-13.3000,3.6000,0.5340,89.7500,1,1,1,0,1,4,0.8422
PgpdA,SPamyB,cai_max,direct_natag_pts1ok,none,nglyc_ablated,1.0000,-13.3000,3.6000,0.5340,89.7500,1,1,1,0,1,4,0.8422
PgpdA,SPamyB,high_gc,direct_natag_pts1ok,none,nglyc_native,1.0000,-13.3000,3.6000,0.5340,89.7500,1,1,1,0,1,4,0.8422
PgpdA,SPamyB,high_gc,direct_natag_pts1ok,none,nglyc_ablated,1.0000,-13.3000,3.6000,0.5340,89.7500,1,1,1,0,1,4,0.8422
PnmtA,SPamyB,cai_max,direct_3xAla_pts1blk,none,nglyc_native,1.0000,-13.3000,3.6000,0.5825,89.5800,1,1,1,0,1,4,0.8417
PnmtA,SPamyB,cai_max,direct_3xAla_pts1blk,none,nglyc_ablated,1.0000,-13.3000,3.6000,0.5825,89.5800,1,1,1,0,1,4,0.8417
PnmtA,SPamyB,high_gc,direct_3xAla_pts1blk,none,nglyc_native,1.0000,-13.3000,3.6000,0.5825,89.5800,1,1,1,0,1,4,0.8417
PnmtA,SPamyB,high_gc,direct_3xAla_pts1blk,none,nglyc_ablated,1.0000,-13.3000,3.6000,0.5825,89.5800,1,1,1,0,1,4,0.8417
PamyB,SPamyB,cai_max,glaA_trunc_KR_pts1ok,short_kex2_pro,nglyc_native,1.0000,-13.3000,8.9000,0.9709,89.3300,1,1,0,1,1,4,0.8417
PamyB,SPamyB,cai_max,glaA_trunc_KR_pts1ok,short_kex2_pro,nglyc_ablated,1.0000,-13.3000,8.9000,0.9709,89.3300,1,1,0,1,1,4,0.8417
PamyB,SPamyB,high_gc,glaA_trunc_KR_pts1ok,short_kex2_pro,nglyc_native,1.0000,-13.3000,8.9000,0.9709,89.3300,1,1,0,1,1,4,0.8417
PamyB,SPamyB,high_gc,glaA_trunc_KR_pts1ok,short_kex2_pro,nglyc_ablated,1.0000,-13.3000,8.9000,0.9709,89.3300,1,1,0,1,1,4,0.8417
PtefI,SPamyB,cai_max,direct_his6_pts1ok,short_kex2_pro,nglyc_native,1.0000,-13.3000,3.7000,0.6311,89.4300,1,1,1,0,1,4,0.8412
